year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,2,0.0,940.5,20.39796296,,True,entertainment;messageboardsandforums;weapons
2002,2,0.0,931.0,20.39796296,,True,entertainment;messageboardsandforums;weapons
2003,2,0.0,931.0,20.39796296,,True,entertainment;messageboardsandforums;weapons
2004,2,0.0,931.0,20.39796296,,True,entertainment;messageboardsandforums;weapons
2005,2,0.0,931.0,20.39796296,,True,entertainment;messageboardsandforums;weapons
2006,2,0.0,931.0,20.39796296,,True,entertainment;messageboardsandforums;weapons
2007,2,0.0,931.0,20.39796296,,True,entertainment;messageboardsandforums;weapons
2008,2,0.0,931.0,20.39796296,,True,entertainment;messageboardsandforums;weapons
2009,1,0.0,931.0,20.39796296,,True,entertainment;messageboardsandforums;weapons
2012,2,7.0,12107.5,14.75112567,15.57818935,True,entertainment;messageboardsandforums;weapons
2013,2,7.0,12692.0,14.70121548,15.77480295,True,entertainment;messageboardsandforums;weapons
2014,2,7.0,12692.0,14.70121548,15.77480295,True,entertainment;messageboardsandforums;weapons
2015,2,7.0,12692.0,14.70121548,15.77480295,True,entertainment;messageboardsandforums;weapons
2016,2,3.5,9697.0,14.70121548,15.77480295,True,entertainment;messageboardsandforums;weapons
2017,2,0.0,6702.0,,,True,entertainment;messageboardsandforums;weapons
2019,3,8.0,17797.0,15.65588727,17.80503463,True,entertainment;messageboardsandforums;weapons
