year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2014,1,0.0,6373.0,11.97706242,13.76565471,True,blogsandpersonal;foodandrecipes
2015,2,0.0,6373.0,11.97706242,13.76565471,True,blogsandpersonal;foodandrecipes
2016,6,3.6666666666666665,6573.0,12.19329537,14.43570642,True,blogsandpersonal;foodandrecipes
2017,4,0.0,5908.5,11.10669915,13.11181515,True,blogsandpersonal;foodandrecipes
2019,3,4.666666666666667,10523.66667,11.98265452,14.06611296,True,blogsandpersonal;foodandrecipes
